SO,Rank,Freq,cumFreq,Zone
BMC HEALTH SERVICES RESEA,1,129,129,Zone 1
SCIENTIFIC REPORTS,2,78,207,Zone 1
BMC PUBLIC HEALTH,3,69,276,Zone 1
BMC MEDICAL EDUCATION,4,56,332,Zone 1
BMC NURSING,5,38,370,Zone 2
BMC PRIMARY CARE,6,25,395,Zone 2
BMC INFECTIOUS DISEASES,7,21,416,Zone 2
BMC GERIATRICS,8,19,435,Zone 2
BMC PREGNANCY AND CHILDBI,9,16,451,Zone 2
BMC WOMEN'S HEALTH,10,15,466,Zone 2
BMC PSYCHIATRY,11,15,481,Zone 2
TRIALS,12,15,496,Zone 2
BMC MEDICAL INFORMATICS A,13,14,510,Zone 2
ANTIMICROBIAL RESISTANCE ,14,12,522,Zone 2
ORPHANET JOURNAL OF RARE ,15,11,533,Zone 2
BMC PEDIATRICS,16,11,544,Zone 2
INTERNATIONAL JOURNAL FOR,17,11,555,Zone 2
CONFLICT AND HEALTH,18,11,566,Zone 2
BMC MEDICAL ETHICS,19,11,577,Zone 2
BMC PALLIATIVE CARE,20,11,588,Zone 2
BMC EMERGENCY MEDICINE,21,10,598,Zone 2
NPJ DIGITAL MEDICINE,22,10,608,Zone 2
BMC CANCER,23,10,618,Zone 2
IMPLEMENTATION SCIENCE CO,24,9,627,Zone 2
HEALTH RESEARCH POLICY AN,25,9,636,Zone 2
COST EFFECTIVENESS AND RE,26,8,644,Zone 2
HUMANITIES AND SOCIAL SCI,27,7,651,Zone 2
INTERNATIONAL JOURNAL OF ,28,7,658,Zone 2
BMC MEDICINE,29,7,665,Zone 2
ARCHIVES OF PUBLIC HEALTH,30,7,672,Zone 2
BMC PSYCHOLOGY,31,7,679,Zone 3
JOURNAL OF MEDICAL SYSTEM,32,6,685,Zone 3
ISRAEL JOURNAL OF HEALTH ,33,6,691,Zone 3
BMC ORAL HEALTH,34,5,696,Zone 3
DIABETOLOGY AND METABOLIC,35,5,701,Zone 3
DISCOVER ARTIFICIAL INTEL,36,5,706,Zone 3
JOURNAL OF HEADACHE AND P,37,5,711,Zone 3
ITALIAN JOURNAL OF PEDIAT,38,5,716,Zone 3
BMC COMPLEMENTARY MEDICIN,39,5,721,Zone 3
INTERNATIONAL BREASTFEEDI,40,5,726,Zone 3
MALARIA JOURNAL,41,5,731,Zone 3
PILOT AND FEASIBILITY STU,42,5,736,Zone 3
CRITICAL CARE,43,5,741,Zone 3
HEALTH ECONOMICS REVIEW,44,5,746,Zone 3
BMC PULMONARY MEDICINE,45,5,751,Zone 3
BMC NEUROLOGY,46,4,755,Zone 3
ARCHIVES OF OSTEOPOROSIS,47,4,759,Zone 3
BMC MICROBIOLOGY,48,4,763,Zone 3
HUMAN RESOURCES FOR HEALT,49,4,767,Zone 3
ENVIRONMENTAL HEALTH: A G,50,4,771,Zone 3
ADVANCES IN SIMULATION,51,4,775,Zone 3
REPRODUCTIVE HEALTH,52,4,779,Zone 3
NATURE COMMUNICATIONS,53,4,783,Zone 3
SYSTEMATIC REVIEWS,54,4,787,Zone 3
ADDICTION SCIENCE AND CLI,55,4,791,Zone 3
DISCOVER SOCIAL SCIENCE A,56,4,795,Zone 3
HARM REDUCTION JOURNAL,57,4,799,Zone 3
EUROPEAN JOURNAL OF MEDIC,58,3,802,Zone 3
BMC NEPHROLOGY,59,3,805,Zone 3
HEALTH AND JUSTICE,60,3,808,Zone 3
COMPUTATIONAL AND STRUCTU,61,3,811,Zone 3
CELL COMMUNICATION AND SI,62,3,814,Zone 3
JOURNAL OF MEDICAL CASE R,63,3,817,Zone 3
WORLD JOURNAL OF UROLOGY,64,3,820,Zone 3
HEALTH IN EMERGENCIES AND,65,3,823,Zone 3
PEC INNOVATION,66,3,826,Zone 3
NETWORK MODELING ANALYSIS,67,3,829,Zone 3
JOURNAL OF ROBOTIC SURGER,68,3,832,Zone 3
CHIROPRACTIC AND MANUAL T,69,3,835,Zone 3
IMPLEMENTATION SCIENCE,70,3,838,Zone 3
JOURNAL OF PATIENT-REPORT,71,3,841,Zone 3
CARDIOVASCULAR DIABETOLOG,72,3,844,Zone 3
BMC MEDICAL GENOMICS,73,3,847,Zone 3
JOURNAL OF TRANSLATIONAL ,74,3,850,Zone 3
GLOBALIZATION AND HEALTH,75,3,853,Zone 3
GENOME MEDICINE,76,3,856,Zone 3
RESEARCH INVOLVEMENT AND ,77,3,859,Zone 3
JOURNAL OF CLOUD COMPUTIN,78,2,861,Zone 3
"JOURNAL OF ANESTHESIA, AN",79,2,863,Zone 3
JOURNAL OF BIG DATA,80,2,865,Zone 3
HEALTH POLICY OPEN,81,2,867,Zone 3
HEALTH INFORMATION SCIENC,82,2,869,Zone 3
DISCOVER NANO,83,2,871,Zone 3
AGING CLINICAL AND EXPERI,84,2,873,Zone 3
"PHILOSOPHY, ETHICS, AND H",85,2,875,Zone 3
INTERNATIONAL JOURNAL OF ,86,2,877,Zone 3
"BMC SPORTS SCIENCE, MEDIC",87,2,879,Zone 3
JOURNAL OF NEUROENGINEERI,88,2,881,Zone 3
AMERICAN JOURNAL OF DISAS,89,2,883,Zone 3
TROPICAL MEDICINE AND HEA,90,2,885,Zone 3
UROLITHIASIS,91,2,887,Zone 3
BMC MUSCULOSKELETAL DISOR,92,2,889,Zone 3
GLOBAL HEALTH RESEARCH AN,93,2,891,Zone 3
BMC SURGERY,94,2,893,Zone 3
BMC MEDICAL RESEARCH METH,95,2,895,Zone 3
INTERNATIONAL JOURNAL OF ,96,2,897,Zone 3
ANNALS OF GENERAL PSYCHIA,97,2,899,Zone 3
PATIENT SAFETY IN SURGERY,98,2,901,Zone 3
EPIDEMIOLOGY AND INFECTIO,99,2,903,Zone 3
AIDS RESEARCH AND THERAPY,100,2,905,Zone 3
BMC GENOMICS,101,2,907,Zone 3
INFECTIOUS DISEASES OF PO,102,2,909,Zone 3
JOURNAL OF NANOBIOTECHNOL,103,2,911,Zone 3
REGENERATIVE THERAPY,104,2,913,Zone 3
ALZHEIMER'S RESEARCH AND ,105,2,915,Zone 3
NPJ FLEXIBLE ELECTRONICS,106,2,917,Zone 3
LANGENBECK'S ARCHIVES OF ,107,2,919,Zone 3
NUTRITION JOURNAL,108,2,921,Zone 3
SOCIAL NETWORK ANALYSIS A,109,2,923,Zone 3
COMMUNICATIONS MATERIALS,110,2,925,Zone 3
"JOURNAL OF HEALTH, POPULA",111,2,927,Zone 3
SCANDINAVIAN JOURNAL OF T,112,2,929,Zone 3
PAKISTAN JOURNAL OF MEDIC,113,1,930,Zone 3
HEREDITARY CANCER IN CLIN,114,1,931,Zone 3
SUBSTANCE ABUSE: TREATMEN,115,1,932,Zone 3
PUBLIC HEALTH GENOMICS,116,1,933,Zone 3
GUIDELINES FOR NURSE PRAC,117,1,934,Zone 3
ARTHROPLASTY,118,1,935,Zone 3
EUROPEAN PSYCHIATRY,119,1,936,Zone 3
ENVIRONMENTAL SCIENCES EU,120,1,937,Zone 3
ACTA NEUROLOGICA TAIWANIC,121,1,938,Zone 3
INTERNATIONAL JOURNAL OF ,122,1,939,Zone 3
INTERNATIONAL JOURNAL OF ,123,1,940,Zone 3
APPLIED MICROBIOLOGY AND ,124,1,941,Zone 3
RENAL REPLACEMENT THERAPY,125,1,942,Zone 3
MILITARY MEDICAL RESEARCH,126,1,943,Zone 3
TECHNIQUES IN COLOPROCTOL,127,1,944,Zone 3
BMC RESEARCH NOTES,128,1,945,Zone 3
SPORTS MEDICINE - OPEN,129,1,946,Zone 3
BIOLOGY OF SEX DIFFERENCE,130,1,947,Zone 3
JOURNAL OF INTENSIVE CARE,131,1,948,Zone 3
JOURNAL OF ORTHOPAEDIC SU,132,1,949,Zone 3
COLLAGEN AND LEATHER,133,1,950,Zone 3
BMC CARDIOVASCULAR DISORD,134,1,951,Zone 3
INTERNATIONAL JOURNAL OF ,135,1,952,Zone 3
INTERNATIONAL JOURNAL OF ,136,1,953,Zone 3
BMC ENDOCRINE DISORDERS,137,1,954,Zone 3
BMC NUTRITION,138,1,955,Zone 3
JOURNAL OF PHARMACEUTICAL,139,1,956,Zone 3
JOURNAL OF ADVANCED RESEA,140,1,957,Zone 3
JOURNAL OF PHYSIOLOGICAL ,141,1,958,Zone 3
JOURNAL OF PATHOLOGY INFO,142,1,959,Zone 3
BMC GASTROENTEROLOGY,143,1,960,Zone 3
JOURNAL OF THE EGYPTIAN P,144,1,961,Zone 3
HUMAN GENOMICS,145,1,962,Zone 3
AVICENNA JOURNAL OF NURSI,146,1,963,Zone 3
ANNALS OF INTENSIVE CARE,147,1,964,Zone 3
BMC OPHTHALMOLOGY,148,1,965,Zone 3
WORLD JOURNAL OF SURGICAL,149,1,966,Zone 3
SCHIZOPHRENIA,150,1,967,Zone 3
MOLECULAR BRAIN,151,1,968,Zone 3
NPJ AGING,152,1,969,Zone 3
LASERS IN MEDICAL SCIENCE,153,1,970,Zone 3
COMPARATIVE MIGRATION STU,154,1,971,Zone 3
JOURNAL OF MAMMARY GLAND ,155,1,972,Zone 3
CARBON RESOURCES CONVERSI,156,1,973,Zone 3
KNEE SURGERY AND RELATED ,157,1,974,Zone 3
RESPIRATORY RESEARCH,158,1,975,Zone 3
"EURASIP JOURNAL ON AUDIO,",159,1,976,Zone 3
POPULATION HEALTH METRICS,160,1,977,Zone 3
JOURNAL OF CHIROPRACTIC H,161,1,978,Zone 3
BENI-SUEF UNIVERSITY JOUR,162,1,979,Zone 3
APPLIED BIOLOGICAL CHEMIS,163,1,980,Zone 3
MOLECULAR BIOLOGY REPORTS,164,1,981,Zone 3
JOURNAL OF CARDIOTHORACIC,165,1,982,Zone 3
PEDIATRIC SURGERY INTERNA,166,1,983,Zone 3
"ALLERGY, ASTHMA AND CLINI",167,1,984,Zone 3
DISCOVER SUSTAINABILITY,168,1,985,Zone 3
COMMUNICATIONS BIOLOGY,169,1,986,Zone 3
EGYPTIAN JOURNAL OF OTOLA,170,1,987,Zone 3
PEDIATRIC RHEUMATOLOGY,171,1,988,Zone 3
LIPIDS IN HEALTH AND DISE,172,1,989,Zone 3
CVIR ENDOVASCULAR,173,1,990,Zone 3
SPINAL CORD SERIES AND CA,174,1,991,Zone 3
BMC ANESTHESIOLOGY,175,1,992,Zone 3
JOURNAL OF ETHNOBIOLOGY A,176,1,993,Zone 3
NPJ MICROGRAVITY,177,1,994,Zone 3
BMC BIOINFORMATICS,178,1,995,Zone 3
INTERNATIONAL JOURNAL OF ,179,1,996,Zone 3
EJNMMI PHYSICS,180,1,997,Zone 3
DISCOVER ONCOLOGY,181,1,998,Zone 3
BREAST CANCER RESEARCH,182,1,999,Zone 3
EGYPTIAN HEART JOURNAL,183,1,1000,Zone 3
