Document,DI,TotalCitation,TCperYear,NormalizedTC
"D’Souza K., 2024, Human Resources for Health",10.1186/s12960-024-00897-x,1,0.3,45.41
"Shangguan Q., 2024, Diabetology and Metabolic Syndrome",10.1186/s13098-024-01307-x,1,0.3,45.41
"Xiao Y., 2024, Humanities and Social Sciences Communications",10.1057/s41599-024-02643-z,1,0.3,45.41
"Szeto K., 2024, International Journal of Behavioral Nutrition and Physical Activity",10.1186/s12966-024-01567-w,1,0.3,45.41
"Yıldız M.S., 2024, BMC Medical Education",10.1186/s12909-024-05349-7,1,0.3,45.41
"Amin F., 2024, Pakistan Journal of Medical Sciences",10.12669/pjms.40.2(ICON).8948,1,0.3,45.41
"Guo Y., 2024, Lipids in Health and Disease",10.1186/s12944-024-02076-2,1,0.3,45.41
"Eerdekens R., 2024, Cost Effectiveness and Resource Allocation",10.1186/s12962-024-00531-6,1,0.3,45.41
"Lee K., 2024, Journal of NeuroEngineering and Rehabilitation",10.1186/s12984-024-01343-8,1,0.3,45.41
"yadalam P.K., 2024, BMC Oral Health",10.1186/s12903-024-04041-y,1,0.3,45.41
"Cesca N., 2024, Spinal Cord Series and Cases",10.1038/s41394-024-00619-4,1,0.3,45.41
"Marcotte L.M., 2024, Implementation Science Communications",10.1186/s43058-024-00569-w,1,0.3,45.41
"Padilha J.M., 2024, BMC Medical Education",10.1186/s12909-024-05154-2,1,0.3,45.41
"Pan J., 2024, BMC Cancer",10.1186/s12885-024-12100-4,1,0.3,45.41
"Rocha H.A.L., 2024, BMC Infectious Diseases",10.1186/s12879-024-09250-y,1,0.3,45.41
"Rodriguez E.E., 2024, Critical Care",10.1186/s13054-024-04893-4,1,0.3,45.41
"Rosati D., 2024, Computational and Structural Biotechnology Journal",10.1016/j.csbj.2024.02.018,1,0.3,45.41
"Schmidt-Mende K., 2024, BMC Geriatrics",10.1186/s12877-024-04796-7,1,0.3,45.41
"García-Azorín D., 2024, Journal of Headache and Pain",10.1186/s10194-024-01740-3,1,0.3,45.41
"Johansen L., 2024, Orphanet Journal of Rare Diseases",10.1186/s13023-024-03125-w,1,0.3,45.41
"Kidholm K., 2024, International Journal of Technology Assessment in Health Care",10.1017/S0266462323002830,1,0.3,45.41
"Alattas M., 2024, BMC Health Services Research",10.1186/s12913-024-10787-6,1,0.3,45.41
"Adebisi Y.A., 2024, Globalization and Health",10.1186/s12992-024-01039-7,0,0.0,0.0
"Adelekan B., 2024, BMC Public Health",10.1186/s12889-023-15848-9,0,0.0,0.0
"Adeoye I.A., 2024, BMC Health Services Research",10.1186/s12913-024-11030-y,0,0.0,0.0
"Adzrago D., 2024, BMC Public Health",10.1186/s12889-024-18336-w,0,0.0,0.0
"Aguilar-Palacio I., 2024, Archives of Public Health",10.1186/s13690-024-01276-7,0,0.0,0.0
"Agvall B., 2024, Cardiovascular Diabetology",10.1186/s12933-024-02211-4,0,0.0,0.0
"Ahmad S., 2024, Scientific Reports",10.1038/s41598-024-57145-4,0,0.0,0.0
"Ahmad S.Z., 2024, Implementation Science Communications",10.1186/s43058-024-00563-2,0,0.0,0.0
"Ahmadinezhad G.S., 2024, BMC Pregnancy and Childbirth",10.1186/s12884-024-06465-4,0,0.0,0.0
"Ahmed S., 2024, Research Involvement and Engagement",10.1186/s40900-024-00568-0,0,0.0,0.0
"Ahmed W.S., 2024, Conflict and Health",10.1186/s13031-024-00590-9,0,0.0,0.0
"Ahn S., 2024, BMC Nursing",10.1186/s12912-024-01891-3,0,0.0,0.0
"Aitken G.L., 2024, Langenbeck's Archives of Surgery",10.1007/s00423-024-03330-y,0,0.0,0.0
"Akatukwasa C., 2024, Discover Social Science and Health",10.1007/s44155-024-00069-1,0,0.0,0.0
"Al-Ajlouni Y.A., 2024, BMC Public Health",10.1186/s12889-024-18316-0,0,0.0,0.0
"Al-Alshaikh H.A., 2024, Scientific Reports",10.1038/s41598-024-58489-7,0,0.0,0.0
"Al-Attar M., 2024, Orphanet Journal of Rare Diseases",10.1186/s13023-024-03143-8,0,0.0,0.0
"Al-Balas M., 2024, BMC Women's Health",10.1186/s12905-024-03007-0,0,0.0,0.0
"Al-Halawani R., 2024, Scientific Reports",10.1038/s41598-024-58435-7,0,0.0,0.0
"Alam F., 2024, Archives of Osteoporosis",10.1007/s11657-024-01389-0,0,0.0,0.0
"Albanesi B., 2024, BMC Geriatrics",10.1186/s12877-024-04912-7,0,0.0,0.0
"Albitres-Flores L., 2024, BMC Health Services Research",10.1186/s12913-024-10809-3,0,0.0,0.0
"Alemu C., 2024, Scientific Reports",10.1038/s41598-024-58855-5,0,0.0,0.0
"Alemu E.M., 2024, BMC Women's Health",10.1186/s12905-024-03069-0,0,0.0,0.0
"Algahtani H.A., 2024, Acta neurologica Taiwanica",,0,0.0,0.0
"Alhajahjeh A., 2024, World Journal of Urology",10.1007/s00345-024-04893-7,0,0.0,0.0
"Aljohani A., 2024, BMC Medical Informatics and Decision Making",10.1186/s12911-024-02518-y,0,0.0,0.0
"Alkhaddo J., 2024, BMC Health Services Research",10.1186/s12913-024-10745-2,0,0.0,0.0
"Allaert Y., 2024, Applied Microbiology and Biotechnology",10.1007/s00253-024-13139-w,0,0.0,0.0
"Allam S.M.E., 2024, BMC Nursing",10.1186/s12912-024-01858-4,0,0.0,0.0
"Ally N., 2024, Tropical Medicine and Health",10.1186/s41182-024-00589-1,0,0.0,0.0
"Almuammar S., 2024, International Journal of Emergency Medicine",10.1186/s12245-024-00635-z,0,0.0,0.0
"Alsaif M., 2024, Health Economics Review",10.1186/s13561-024-00505-7,0,0.0,0.0
"Altarifi D., 2024, BMC Health Services Research",10.1186/s12913-024-10983-4,0,0.0,0.0
"Altuhaifa F., 2024, Journal of Medical Systems",10.1007/s10916-024-02062-2,0,0.0,0.0
"Alvis-Guzman N., 2024, Diabetology and Metabolic Syndrome",10.1186/s13098-024-01300-4,0,0.0,0.0
"Alzghaibi H., 2024, BMC Medical Education",10.1186/s12909-024-05065-2,0,0.0,0.0
"Ambrose J.W., 2024, BMC Health Services Research",10.1186/s12913-024-10895-3,0,0.0,0.0
"Ameyaw E.K., 2024, BMC Pregnancy and Childbirth",10.1186/s12884-024-06459-2,0,0.0,0.0
"Amini E., 2024, BMC Public Health",10.1186/s12889-024-18374-4,0,0.0,0.0
"Amiri H., 2024, BMC Medical Education",10.1186/s12909-024-05406-1,0,0.0,0.0
"Amuka E., 2024, BMC Pediatrics",10.1186/s12887-024-04676-4,0,0.0,0.0
"An Z., 2024, BMC Primary Care",10.1186/s12875-024-02378-5,0,0.0,0.0
"Ancira-Moreno M., 2024, International Journal for Equity in Health",10.1186/s12939-024-02111-9,0,0.0,0.0
"Andersén M.B., 2024, BMC Public Health",10.1186/s12889-024-18617-4,0,0.0,0.0
"Anuwar A.H.K., 2024, BMC Oral Health",10.1186/s12903-024-04094-z,0,0.0,0.0
"Ara G., 2024, BMC Public Health",10.1186/s12889-024-18359-3,0,0.0,0.0
"Aranda-Nárvaez J.M., 2024, Langenbeck's Archives of Surgery",10.1007/s00423-024-03305-z,0,0.0,0.0
"Arendse K.D., 2024, Scientific Reports",10.1038/s41598-024-57774-9,0,0.0,0.0
"Arjmandnia F., 2024, Patient Safety in Surgery",10.1186/s13037-024-00393-0,0,0.0,0.0
"Arntson L., 2024, Malaria Journal",10.1186/s12936-024-04951-w,0,0.0,0.0
"Arraji M., 2024, BMC Complementary Medicine and Therapies",10.1186/s12906-024-04468-4,0,0.0,0.0
