Document,DI,TotalCitation,TCperYear,NormalizedTC
"D’Souza K., 2024, Human Resources for Health",10.1186/s12960-024-00897-x,1,0.3,45.41
"Shangguan Q., 2024, Diabetology and Metabolic Syndrome",10.1186/s13098-024-01307-x,1,0.3,45.41
"Xiao Y., 2024, Humanities and Social Sciences Communications",10.1057/s41599-024-02643-z,1,0.3,45.41
"Szeto K., 2024, International Journal of Behavioral Nutrition and Physical Activity",10.1186/s12966-024-01567-w,1,0.3,45.41
"Yıldız M.S., 2024, BMC Medical Education",10.1186/s12909-024-05349-7,1,0.3,45.41
"Amin F., 2024, Pakistan Journal of Medical Sciences",10.12669/pjms.40.2(ICON).8948,1,0.3,45.41
"Guo Y., 2024, Lipids in Health and Disease",10.1186/s12944-024-02076-2,1,0.3,45.41
"Eerdekens R., 2024, Cost Effectiveness and Resource Allocation",10.1186/s12962-024-00531-6,1,0.3,45.41
"Lee K., 2024, Journal of NeuroEngineering and Rehabilitation",10.1186/s12984-024-01343-8,1,0.3,45.41
"yadalam P.K., 2024, BMC Oral Health",10.1186/s12903-024-04041-y,1,0.3,45.41
