N.Articles,N.Authors,Freq,Theoretical
1,6113,0.9511436128831492,0.6406585772608601
2,232,0.0360977127742337,0.16016464431521502
3,41,0.006379337171308542,0.07118428636231777
4,18,0.0028006846117939943,0.04004116107880376
5,8,0.0012447487163528862,0.025626343090434402
6,4,0.0006223743581764431,0.01779607159057945
7,5,0.0007779679477205539,0.01307466484205837
8,2,0.00031118717908822156,0.010010290269700938
9,1,0.00015559358954411078,0.007909365151368645
11,1,0.00015559358954411078,0.005294698985626939
12,1,0.00015559358954411078,0.004449017897644859
13,1,0.00015559358954411078,0.0037908791553897037
