Sources,N. of Documents
BMC HEALTH SERVICES RESEARCH,129
SCIENTIFIC REPORTS,78
BMC PUBLIC HEALTH,69
BMC MEDICAL EDUCATION,56
BMC NURSING,38
BMC PRIMARY CARE,25
BMC INFECTIOUS DISEASES,21
BMC GERIATRICS,19
BMC PREGNANCY AND CHILDBIRTH,16
BMC WOMEN'S HEALTH,15
BMC PSYCHIATRY,15
TRIALS,15
BMC MEDICAL INFORMATICS AND DECISION MAKING,14
ANTIMICROBIAL RESISTANCE AND INFECTION CONTROL,12
ORPHANET JOURNAL OF RARE DISEASES,11
BMC PEDIATRICS,11
INTERNATIONAL JOURNAL FOR EQUITY IN HEALTH,11
CONFLICT AND HEALTH,11
BMC MEDICAL ETHICS,11
BMC PALLIATIVE CARE,11
BMC EMERGENCY MEDICINE,10
NPJ DIGITAL MEDICINE,10
BMC CANCER,10
IMPLEMENTATION SCIENCE COMMUNICATIONS,9
HEALTH RESEARCH POLICY AND SYSTEMS,9
COST EFFECTIVENESS AND RESOURCE ALLOCATION,8
HUMANITIES AND SOCIAL SCIENCES COMMUNICATIONS,7
INTERNATIONAL JOURNAL OF EMERGENCY MEDICINE,7
BMC MEDICINE,7
ARCHIVES OF PUBLIC HEALTH,7
BMC PSYCHOLOGY,7
JOURNAL OF MEDICAL SYSTEMS,6
ISRAEL JOURNAL OF HEALTH POLICY RESEARCH,6
BMC ORAL HEALTH,5
DIABETOLOGY AND METABOLIC SYNDROME,5
DISCOVER ARTIFICIAL INTELLIGENCE,5
JOURNAL OF HEADACHE AND PAIN,5
ITALIAN JOURNAL OF PEDIATRICS,5
BMC COMPLEMENTARY MEDICINE AND THERAPIES,5
INTERNATIONAL BREASTFEEDING JOURNAL,5
MALARIA JOURNAL,5
PILOT AND FEASIBILITY STUDIES,5
CRITICAL CARE,5
HEALTH ECONOMICS REVIEW,5
BMC PULMONARY MEDICINE,5
BMC NEUROLOGY,4
ARCHIVES OF OSTEOPOROSIS,4
BMC MICROBIOLOGY,4
HUMAN RESOURCES FOR HEALTH,4
ENVIRONMENTAL HEALTH: A GLOBAL ACCESS SCIENCE SOURCE,4
ADVANCES IN SIMULATION,4
REPRODUCTIVE HEALTH,4
NATURE COMMUNICATIONS,4
SYSTEMATIC REVIEWS,4
ADDICTION SCIENCE AND CLINICAL PRACTICE,4
DISCOVER SOCIAL SCIENCE AND HEALTH,4
HARM REDUCTION JOURNAL,4
EUROPEAN JOURNAL OF MEDICAL RESEARCH,3
BMC NEPHROLOGY,3
HEALTH AND JUSTICE,3
COMPUTATIONAL AND STRUCTURAL BIOTECHNOLOGY JOURNAL,3
CELL COMMUNICATION AND SIGNALING,3
JOURNAL OF MEDICAL CASE REPORTS,3
WORLD JOURNAL OF UROLOGY,3
HEALTH IN EMERGENCIES AND DISASTERS QUARTERLY,3
PEC INNOVATION,3
NETWORK MODELING ANALYSIS IN HEALTH INFORMATICS AND BIOINFORMATICS,3
JOURNAL OF ROBOTIC SURGERY,3
CHIROPRACTIC AND MANUAL THERAPIES,3
IMPLEMENTATION SCIENCE,3
JOURNAL OF PATIENT-REPORTED OUTCOMES,3
CARDIOVASCULAR DIABETOLOGY,3
BMC MEDICAL GENOMICS,3
JOURNAL OF TRANSLATIONAL MEDICINE,3
GLOBALIZATION AND HEALTH,3
GENOME MEDICINE,3
RESEARCH INVOLVEMENT AND ENGAGEMENT,3
JOURNAL OF CLOUD COMPUTING,2
"JOURNAL OF ANESTHESIA, ANALGESIA AND CRITICAL CARE",2
JOURNAL OF BIG DATA,2
HEALTH POLICY OPEN,2
HEALTH INFORMATION SCIENCE AND SYSTEMS,2
DISCOVER NANO,2
AGING CLINICAL AND EXPERIMENTAL RESEARCH,2
"PHILOSOPHY, ETHICS, AND HUMANITIES IN MEDICINE",2
INTERNATIONAL JOURNAL OF TECHNOLOGY ASSESSMENT IN HEALTH CARE,2
"BMC SPORTS SCIENCE, MEDICINE AND REHABILITATION",2
JOURNAL OF NEUROENGINEERING AND REHABILITATION,2
AMERICAN JOURNAL OF DISASTER MEDICINE,2
TROPICAL MEDICINE AND HEALTH,2
UROLITHIASIS,2
BMC MUSCULOSKELETAL DISORDERS,2
GLOBAL HEALTH RESEARCH AND POLICY,2
BMC SURGERY,2
BMC MEDICAL RESEARCH METHODOLOGY,2
INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS,2
ANNALS OF GENERAL PSYCHIATRY,2
PATIENT SAFETY IN SURGERY,2
EPIDEMIOLOGY AND INFECTION,2
AIDS RESEARCH AND THERAPY,2
BMC GENOMICS,2
INFECTIOUS DISEASES OF POVERTY,2
JOURNAL OF NANOBIOTECHNOLOGY,2
REGENERATIVE THERAPY,2
ALZHEIMER'S RESEARCH AND THERAPY,2
NPJ FLEXIBLE ELECTRONICS,2
LANGENBECK'S ARCHIVES OF SURGERY,2
NUTRITION JOURNAL,2
SOCIAL NETWORK ANALYSIS AND MINING,2
COMMUNICATIONS MATERIALS,2
"JOURNAL OF HEALTH, POPULATION AND NUTRITION",2
"SCANDINAVIAN JOURNAL OF TRAUMA, RESUSCITATION AND EMERGENCY MEDICINE",2
PAKISTAN JOURNAL OF MEDICAL SCIENCES,1
HEREDITARY CANCER IN CLINICAL PRACTICE,1
"SUBSTANCE ABUSE: TREATMENT, PREVENTION, AND POLICY",1
PUBLIC HEALTH GENOMICS,1
